iter	Passed	Remaining
681	1330	620
682	1331	618
683	1333	616
684	1334	613
685	1338	612
686	1341	611
687	1344	609
688	1346	607
689	1349	606
690	1353	605
691	1355	603
692	1357	601
693	1359	599
694	1361	597
695	1363	595
696	1367	594
697	1369	592
698	1371	590
699	1373	588
700	1374	586
701	1376	584
702	1378	582
703	1381	580
704	1385	579
705	1386	577
706	1388	575
707	1391	573
708	1399	574
709	1400	572
710	1402	570
711	1405	568
712	1407	566
713	1409	564
714	1416	564
715	1418	562
716	1419	560
717	1423	559
718	1430	558
719	1433	557
720	1435	555
721	1437	553
722	1443	552
723	1445	551
724	1447	549
725	1450	547
726	1452	545
727	1460	545
728	1462	543
729	1464	541
730	1465	539
731	1466	536
732	1470	535
733	1473	533
734	1475	531
735	1477	530
736	1479	527
737	1480	525
738	1482	523
739	1489	523
740	1493	521
741	1504	523
742	1506	520
743	1507	518
744	1509	516
745	1510	514
746	1512	512
747	1514	510
748	1520	509
749	1522	507
750	1524	505
751	1526	503
752	1527	501
753	1530	499
754	1537	498
755	1540	497
756	1542	495
757	1547	494
758	1550	492
759	1552	490
760	1553	488
761	1556	486
762	1558	484
763	1559	481
764	1567	481
765	1568	479
766	1570	477
767	1573	475
768	1579	474
769	1581	472
770	1582	470
771	1585	468
772	1587	466
773	1589	464
774	1597	463
775	1600	461
776	1601	459
777	1603	457
778	1605	455
779	1616	456
780	1618	453
781	1621	451
782	1631	452
783	1634	450
784	1636	448
785	1641	446
786	1644	445
787	1646	442
788	1648	440
789	1650	438
790	1661	439
791	1664	437
792	1667	435
793	1673	434
794	1675	431
795	1677	429
796	1678	427
797	1680	425
798	1682	423
799	1685	421
800	1690	420
801	1692	417
802	1693	415
803	1695	413
804	1696	411
805	1703	410
806	1705	407
807	1706	405
808	1708	403
809	1709	401
810	1711	398
811	1712	396
812	1721	395
813	1723	393
814	1725	391
815	1727	389
816	1732	387
817	1733	385
818	1735	383
819	1737	381
820	1738	379
821	1740	376
822	1741	374
823	1744	372
824	1749	371
825	1751	368
826	1752	366
827	1754	364
828	1756	362
829	1757	359
830	1758	357
831	1779	359
832	1785	357
833	1786	355
834	1788	353
835	1790	351
836	1794	349
837	1796	347
838	1798	345
839	1799	342
840	1801	340
841	1802	338
842	1804	336
843	1805	333
844	1808	331
845	1810	329
846	1812	327
847	1814	325
848	1816	323
849	1818	320
850	1819	318
851	1827	317
852	1828	315
853	1830	312
854	1831	310
855	1833	308
856	1834	306
857	1836	304
858	1839	301
859	1844	300
860	1846	298
861	1848	295
862	1851	293
863	1853	291
864	1856	289
865	1858	287
866	1859	285
867	1861	283
868	1863	280
869	1867	279
870	1869	276
871	1871	274
872	1873	272
873	1875	270
874	1877	268
875	1879	266
876	1883	264
877	1885	261
878	1886	259
879	1888	257
880	1889	255
881	1891	253
882	1893	250
883	1897	249
884	1900	246
885	1901	244
886	1903	242
887	1905	240
888	1907	238
889	1908	235
890	1912	234
891	1915	231
892	1918	229
893	1920	227
894	1922	225
895	1923	223
896	1927	221
897	1929	219
898	1930	216
899	1932	214
900	1933	212
901	1935	210
902	1936	208
903	1937	205
904	1944	204
905	1947	202
906	1949	199
907	1951	197
908	1952	195
909	1954	193
910	1956	191
911	1959	189
912	1961	186
913	1963	184
914	1964	182
915	1966	180
916	1968	178
917	1970	175
918	1973	173
919	1974	171
920	1975	169
921	1977	167
922	1978	165
923	1979	162
924	1981	160
925	1982	158
926	1984	156
927	1986	154
928	1988	151
929	1990	149
930	1991	147
931	1992	145
932	1994	143
933	1995	140
934	1996	138
935	1998	136
936	2000	134
937	2002	132
938	2003	130
939	2005	128
940	2006	125
941	2008	123
942	2010	121
943	2012	119
944	2018	117
945	2019	115
